W0821 00:11:52.264151   713 device_context.cc:404] Please NOTE: device: 0, GPU Compute Capability: 7.0, Driver API Version: 11.0, Runtime API Version: 10.1
W0821 00:11:52.268267   713 device_context.cc:422] device: 0, cuDNN Version: 7.6.
Train: [23][40/98]	BT 0.962 (0.965)	DT 0.000 (0.032)	loss 8.029 (8.011)
Train: [23][50/98]	BT 0.967 (0.965)	DT 0.000 (0.025)	loss 8.177 (8.024)
Train: [23][60/98]	BT 0.966 (0.965)	DT 0.000 (0.021)	loss 8.091 (8.030)
Train: [23][70/98]	BT 0.965 (0.965)	DT 0.000 (0.018)	loss 8.074 (8.026)
Train: [23][80/98]	BT 0.958 (0.965)	DT 0.000 (0.016)	loss 8.037 (8.029)
Train: [23][90/98]	BT 0.966 (0.965)	DT 0.000 (0.014)	loss 7.901 (8.021)
epoch 23, total time 94.50
Train: [24][10/98]	BT 0.967 (0.961)	DT 0.000 (0.124)	loss 7.880 (8.001)
Train: [24][20/98]	BT 0.965 (0.962)	DT 0.000 (0.062)	loss 8.084 (8.001)
Train: [24][30/98]	BT 0.964 (0.963)	DT 0.000 (0.041)	loss 8.063 (8.011)
Train: [24][40/98]	BT 0.962 (0.963)	DT 0.000 (0.031)	loss 7.876 (8.016)
Train: [24][50/98]	BT 0.962 (0.964)	DT 0.000 (0.025)	loss 8.100 (8.006)
Train: [24][60/98]	BT 0.965 (0.964)	DT 0.000 (0.021)	loss 7.984 (8.014)
Train: [24][70/98]	BT 0.966 (0.964)	DT 0.000 (0.018)	loss 8.148 (8.015)
Train: [24][80/98]	BT 0.967 (0.964)	DT 0.000 (0.016)	loss 7.946 (8.021)
Train: [24][90/98]	BT 0.963 (0.964)	DT 0.000 (0.014)	loss 7.935 (8.019)
epoch 24, total time 94.40
Train: [25][10/98]	BT 0.974 (0.967)	DT 0.000 (0.137)	loss 8.183 (7.970)
Train: [25][20/98]	BT 0.961 (0.966)	DT 0.000 (0.069)	loss 7.979 (7.994)
Train: [25][30/98]	BT 0.963 (0.966)	DT 0.000 (0.046)	loss 7.995 (7.994)
Train: [25][40/98]	BT 0.962 (0.966)	DT 0.000 (0.034)	loss 8.101 (8.001)
Train: [25][50/98]	BT 0.961 (0.965)	DT 0.000 (0.028)	loss 7.832 (8.000)
Train: [25][60/98]	BT 0.961 (0.966)	DT 0.000 (0.023)	loss 7.963 (7.995)
Train: [25][70/98]	BT 0.963 (0.966)	DT 0.000 (0.020)	loss 8.156 (7.998)
Train: [25][80/98]	BT 0.959 (0.966)	DT 0.000 (0.017)	loss 7.994 (8.000)
Train: [25][90/98]	BT 0.966 (0.965)	DT 0.000 (0.015)	loss 8.015 (8.002)
epoch 25, total time 94.50
Train: [26][10/98]	BT 0.996 (0.958)	DT 0.000 (0.130)	loss 7.932 (7.936)
Train: [26][20/98]	BT 0.970 (0.965)	DT 0.000 (0.065)	loss 8.053 (7.967)
Train: [26][30/98]	BT 0.961 (0.965)	DT 0.000 (0.043)	loss 7.979 (7.964)
Train: [26][40/98]	BT 0.963 (0.965)	DT 0.000 (0.033)	loss 7.863 (7.961)
Train: [26][50/98]	BT 0.962 (0.964)	DT 0.000 (0.026)	loss 8.015 (7.966)
Train: [26][60/98]	BT 0.962 (0.964)	DT 0.000 (0.022)	loss 8.123 (7.977)
Train: [26][70/98]	BT 0.966 (0.964)	DT 0.000 (0.019)	loss 7.964 (7.975)
Train: [26][80/98]	BT 0.962 (0.964)	DT 0.000 (0.016)	loss 7.956 (7.974)
Train: [26][90/98]	BT 0.968 (0.964)	DT 0.000 (0.015)	loss 7.901 (7.977)
epoch 26, total time 94.40
Train: [27][10/98]	BT 0.968 (0.959)	DT 0.000 (0.126)	loss 7.990 (7.923)
Train: [27][20/98]	BT 0.958 (0.960)	DT 0.000 (0.063)	loss 8.015 (7.941)
Train: [27][30/98]	BT 0.965 (0.963)	DT 0.000 (0.042)	loss 7.882 (7.947)
Train: [27][40/98]	BT 0.962 (0.963)	DT 0.000 (0.031)	loss 8.024 (7.940)
Train: [27][50/98]	BT 0.963 (0.963)	DT 0.000 (0.025)	loss 8.061 (7.947)
Train: [27][60/98]	BT 0.965 (0.964)	DT 0.000 (0.021)	loss 8.014 (7.950)
Train: [27][70/98]	BT 0.967 (0.964)	DT 0.000 (0.018)	loss 7.915 (7.952)
Train: [27][80/98]	BT 0.962 (0.964)	DT 0.000 (0.016)	loss 8.021 (7.956)
Train: [27][90/98]	BT 0.967 (0.965)	DT 0.000 (0.014)	loss 7.962 (7.955)
epoch 27, total time 94.42
Train: [28][10/98]	BT 0.975 (0.961)	DT 0.000 (0.126)	loss 7.977 (7.967)
Train: [28][20/98]	BT 0.964 (0.962)	DT 0.000 (0.063)	loss 7.724 (7.914)
Train: [28][30/98]	BT 0.967 (0.963)	DT 0.000 (0.042)	loss 7.953 (7.921)
Train: [28][40/98]	BT 0.963 (0.963)	DT 0.000 (0.032)	loss 8.042 (7.935)
Train: [28][50/98]	BT 0.969 (0.964)	DT 0.000 (0.025)	loss 7.875 (7.940)
Train: [28][60/98]	BT 0.962 (0.964)	DT 0.000 (0.021)	loss 7.919 (7.951)
Train: [28][70/98]	BT 0.967 (0.964)	DT 0.000 (0.018)	loss 7.984 (7.951)
Train: [28][80/98]	BT 0.969 (0.964)	DT 0.000 (0.016)	loss 8.012 (7.950)
Train: [28][90/98]	BT 0.961 (0.964)	DT 0.000 (0.014)	loss 7.944 (7.952)
epoch 28, total time 94.38
Train: [29][10/98]	BT 0.966 (0.959)	DT 0.000 (0.129)	loss 7.948 (7.938)
Train: [29][20/98]	BT 0.963 (0.961)	DT 0.000 (0.065)	loss 7.930 (7.942)
Train: [29][30/98]	BT 0.965 (0.962)	DT 0.000 (0.043)	loss 7.993 (7.941)
Train: [29][40/98]	BT 0.962 (0.963)	DT 0.000 (0.032)	loss 8.096 (7.937)
Train: [29][50/98]	BT 0.968 (0.964)	DT 0.000 (0.026)	loss 8.175 (7.942)
Train: [29][60/98]	BT 0.961 (0.965)	DT 0.000 (0.022)	loss 7.922 (7.944)
Train: [29][70/98]	BT 0.964 (0.965)	DT 0.000 (0.019)	loss 7.835 (7.941)
Train: [29][80/98]	BT 0.969 (0.965)	DT 0.000 (0.016)	loss 7.845 (7.937)
Train: [29][90/98]	BT 0.965 (0.965)	DT 0.000 (0.014)	loss 7.885 (7.934)
epoch 29, total time 94.50
Train: [30][10/98]	BT 0.973 (0.961)	DT 0.000 (0.142)	loss 7.884 (7.958)
